{7086FA5C-E4C6-4280-A3FF-7BE4FD2EE526},44995,1995-10-27 00:00,SG1 2AL,F,Y,L,74,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{971381F3-28FD-4D1F-80F1-AD1703F157A4},32990,1995-06-22 00:00,SG1 2AJ,F,Y,L,41,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{E1F30F8A-CFCE-4D1F-98CF-A5FEB7C52EBA},66300,1995-12-21 00:00,TW3 4BZ,F,Y,L,FOXTAIL HOUSE,FLAT 9,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{C8733855-C9EF-455F-A0DD-B42A837A6317},54995,1995-11-03 00:00,OX26 4US,T,Y,F,90,,COOPERS GREEN,BICESTER,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{4FC66AEC-04D0-41F3-9930-AD1DE71C7735},79995,1995-10-26 00:00,E3 2UR,F,N,L,PARK WEST BUILDING,FLAT 310,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,A,A
{FD5212E9-FC92-46ED-B04C-C3193FDC2CFE},59995,1995-08-03 00:00,CM21 9PF,F,Y,L,154,,LAWRENCE MOORINGS,SAWBRIDGEWORTH,SAWBRIDGEWORTH,EPPING FOREST,ESSEX,A,A
{8A8BC8EF-583F-4C53-BBBF-BF93D00B2C74},49950,1995-11-24 00:00,NE32 4SW,S,Y,L,58,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{2692046C-4535-495D-A723-B440F3A909EE},85995,1995-06-02 00:00,E3 2UR,F,Y,L,PARK WEST BUILDING,FLAT 37,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,A,A
{19A41D37-96EA-4899-8142-E6CDBBC1CF4D},226000,1995-04-05 00:00,SW1V 2DN,F,Y,L,"BONINGTON HOUSE, 16",FLAT 7,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{3763C2FA-7872-4E25-93E2-BC136114CB66},123950,1995-07-31 00:00,SE1 3HS,F,Y,L,51,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{E69A49D5-6D7B-4118-8D76-DFBF7891A6DD},239000,1995-04-05 00:00,SW1V 2DN,F,Y,L,"HERRING HOUSE, 18",FLAT 5,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{07607B99-0A2E-4E85-98E1-A621175EF635},32995,1995-06-30 00:00,SG1 2AJ,F,Y,L,49,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{85995053-9061-4876-B6B1-BC1ED06AE1D1},69950,1995-12-20 00:00,IP2 8RS,D,Y,F,42,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
{70C2FE45-0CC1-4278-96DD-B45718A840D6},45995,1995-10-02 00:00,SG1 2AL,F,Y,L,80,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{302C581C-1171-4FEE-9770-DFCE2B7DFDED},175000,1995-09-05 00:00,SW1V 2DN,F,Y,L,"FARINGTON HOUSE, 22",FLAT 2,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{CD84741B-6C17-4106-9458-A3AD23325813},56000,1995-06-30 00:00,OX26 4US,S,Y,F,48,,COOPERS GREEN,BICESTER,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{604100AE-3FA4-4E0C-BC45-A3B15282C260},79995,1995-11-09 00:00,IP2 8RS,D,Y,F,34,,MONMOUTH CLOSE,IPSWICH,IPSWICH,IPSWICH,SUFFOLK,A,A
{926E13BE-77A0-4123-AFC5-DC5A0C76D463},32995,1995-12-15 00:00,SG1 2AL,F,Y,L,106,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{088B8DA2-5A8C-4120-BF40-A9BAC12B0CD2},110000,1995-09-04 00:00,SE1 3HS,F,Y,L,45,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{F746F53D-DD83-41E8-809B-EA6E87868FDD},45995,1995-11-28 00:00,SG1 2AL,F,Y,L,98,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{808ACADF-6B8A-4265-AC49-E6EBE5039A4B},64300,1995-11-02 00:00,TW3 4BZ,F,Y,L,MARYGOLD HOUSE,FLAT 4,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{FDE5F768-E039-4052-B8C1-A6459509F7A4},84995,1995-06-23 00:00,E3 2UR,F,Y,L,PARK WEST BUILDING,FLAT 17,FAIRFIELD ROAD,LONDON,LONDON,TOWER HAMLETS,GREATER LONDON,A,A
{04114E31-813D-4325-980E-BC3ED194DF91},98000,1995-08-10 00:00,SE1 3HS,F,Y,L,43,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{42DF4608-1E50-430E-BD1D-A3CCE36E22FE},62695,1995-09-29 00:00,OX26 4US,S,Y,F,54,,COOPERS GREEN,BICESTER,BICESTER,CHERWELL,OXFORDSHIRE,A,A
{9EF36068-294A-4C07-8DC9-C3569CC0DB72},69300,1995-10-27 00:00,TW3 4BZ,F,Y,L,MARYGOLD HOUSE,FLAT 10,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{FF1BF94C-0D8A-4B1D-8C5B-BFD387609925},140950,1995-09-29 00:00,SE1 3HS,F,Y,L,9,,LEATHERMARKET COURT,LONDON,LONDON,SOUTHWARK,GREATER LONDON,A,A
{0FAFE21A-CBC0-4E92-87A8-C35B0A2FC816},64300,1995-10-27 00:00,TW3 4BZ,F,Y,L,MARYGOLD HOUSE,FLAT 1,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{090650C8-7B49-4B15-99FC-A0400FDB1081},182000,1995-03-31 00:00,SW1V 2DN,F,Y,L,"HERRING HOUSE, 18",FLAT 1,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{1D29C4DB-E8BA-4A0B-8408-E393C7690ECE},32995,1995-12-11 00:00,SG1 2AL,F,Y,L,110,,PRESTATYN CLOSE,STEVENAGE,STEVENAGE,STEVENAGE,HERTFORDSHIRE,A,A
{814546F9-CE4B-4B4E-BD96-EA959BD86FC3},95150,1995-08-18 00:00,NE32 4SW,D,Y,F,38,,CALF CLOSE DRIVE,JARROW,JARROW,SOUTH TYNESIDE,TYNE AND WEAR,A,A
{25B2D03D-F190-43AB-B856-C37081BD441D},160000,1995-04-07 00:00,SW1V 2DN,F,Y,L,"BONINGTON HOUSE, 16",FLAT 4,GLOUCESTER STREET,LONDON,LONDON,CITY OF WESTMINSTER,GREATER LONDON,A,A
{1E38C344-8F74-446C-AE8E-95BF05318CC3},65800,1995-12-08 00:00,TW3 4BZ,F,Y,L,SORREL HOUSE,FLAT 6,TAYLOR CLOSE,HOUNSLOW,HOUNSLOW,HOUNSLOW,GREATER LONDON,A,A
{39FAE506-3494-4A9D-AA70-E72D2C9E01DB},49995,1995-05-12 00:00,CM21 9PF,F,Y,L,175,,LAWRENCE MOORINGS,SAWBRIDGEWORTH,SAWBRIDGEWORTH,EPPING FOREST,ESSEX,A,A
